Location_ID,Sensor_Description,Sensor_Name,Installation_Date,Note,Location_Type,Status,Direction_1,Direction_2,Latitude,Longitude,Location,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
70,Errol Street (East),Errol20_T,12/10/2020,,Outdoor,A,North,South,-37.80456984,144.9494623,"-37.80456984, 144.94946228",22,10,2,1,0,1,6,44,106,227,333,392,424,443,424,389,333,252,197,160,117,92,71,49
71,Westwood Place,WestWP_T,16/10/2020,,Outdoor,A,North,South,-37.81235775,144.9713696,"-37.81235775, 144.97136962",9,4,2,2,1,1,7,28,87,197,289,332,368,358,344,305,251,185,114,94,79,58,40,26
72,Flinders St- ACMI,ACMI_T,30/11/2020,,Outdoor,A,East,West,-37.81726338,144.9687281,"-37.81726338, 144.96872809",19,11,5,3,3,3,9,36,88,194,296,338,337,298,271,255,257,298,348,343,296,220,177,90
73,Bourke St - Spencer St (South),Bou655_T,,,Outdoor,A,East,West,-37.81695684,144.9541537,"-37.81695684, 144.95415373",11,12,5,6,9,7,8,10,11,20,38,61,45,20,21,23,31,61,57,28,20,15,16,16
75,Spring St- Flinders st (West),SprFli_T,18/12/2020,,Outdoor,A,North,South,-37.81515276,144.9746766,"-37.81515276, 144.97467661",224,128,52,26,18,37,55,76,145,258,376,546,689,780,795,809,957,1036,921,882,746,754,947,754
76,Macaulay Rd- Bellair St,KenMac_T,20/2/2021,,Outdoor,A,East,West,-37.79453803,144.9303619,"-37.79453803, 144.93036194",77,49,41,30,25,19,29,47,90,141,173,183,239,286,247,262,261,250,201,192,156,188,244,259
77,Harbour Esplanade (West) - Pedestrian path,HarEsP_T,25/3/2021,,Outdoor,A,North,South,-37.81441438,144.9443303,"-37.81441438, 144.94433026",19,9,4,4,3,8,30,38,29,41,51,73,89,88,112,89,118,126,133,121,61,43,104,52
78,Harbour Esplanade (West) - Bike Path,HarEsB_T,30/3/2021,,Outdoor,A,North,South,-37.81471642,144.9446508,"-37.81471642, 144.9446508",5,2,1,1,1,1,4,22,59,125,154,163,133,113,96,88,87,91,80,59,41,25,16,12
79,Flinders St (South),FliSS_T,10/9/2021,,Outdoor,A,East,West,-37.81794046,144.9661668,"-37.81794046, 144.96616678",37,19,8,6,4,4,18,63,110,178,265,293,304,326,314,365,414,393,394,411,268,209,188,135
80,Boyd Commuinty - Rear door,BoCoR_T,30/3/2021,,Indoor,A,In,Out,-37.8254567,144.9613121,"-37.8254567, 144.96131206",11,7,6,4,2,2,9,34,56,87,116,119,119,128,130,125,130,111,109,123,101,90,104,80
81,Boyd Commuinty - Front door,BoCoF_T,30/3/2021,,Indoor,A,In,Out,-37.82579138,144.9608434,"-37.82579138, 144.96084343",359,235,153,110,71,62,84,143,248,444,703,955,1099,1189,1159,1141,1196,1214,1178,1104,901,900,1069,850
82,510 Elizabeth Street - Main Entry,Eli510_T,5/11/2021,,Indoor,A,In,Out,-37.80680012,144.9600174,"-37.80680012, 144.96001735",505,327,230,175,126,96,134,259,536,919,1318,1681,1931,2167,2233,2279,2240,2193,1966,1745,1585,1452,1413,1118
84,Elizabeth St - Flinders St (East) - New footpath,ElFi_T,3/12/2021,,Outdoor,A,North,South,-37.81798049,144.9650338,"-37.81798049, 144.96503383",11,2,1,1,1,2,7,27,83,149,207,232,214,195,172,157,143,137,129,95,59,30,25,19
85,Macaulay Rd (North),488Mac_T,21/12/2021,,Outdoor,A,East,West,-37.79432415,144.9297338,"-37.79432415, 144.92973378",11,7,4,2,2,2,6,16,47,87,124,141,136,123,104,89,82,84,104,92,76,45,37,25
86,Queensberry St - Errol St (South),574Qub_T,21/12/2021,,Outdoor,A,East,West,-37.80309992,144.9490806,"-37.80309992, 144.94908064",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
87,Errol St (West),Errol23_T,20/5/2022,,Outdoor,A,North,South,-37.80454949,144.9492186,"-37.80454949, 144.94921863",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
